Flowmeter,Manometer,Diagnostic
89.812,,Funcionamento Pleno
36.376,5.2883,Funcionamento Pleno
34.786,5.2931,Funcionamento Pleno
34.786,5.2931,Funcionamento Pleno
34.727,5.293200000000001,Funcionamento Pleno
34.3895,5.29425,Funcionamento Pleno
33.866,5.2958,Funcionamento Pleno
32.953,5.2986,Funcionamento Pleno
31.923,5.3017,Funcionamento Pleno
30.599,5.3057,Funcionamento Pleno
29.064,5.31032,Funcionamento Pleno
27.4395,5.31525,Funcionamento Pleno
25.845,5.3201,Funcionamento Pleno
23.5825,5.326950000000001,Funcionamento Pleno
21.6541,5.332809999999999,Funcionamento Pleno
20.4304,5.3366,Funcionamento Pleno
19.654,5.339,Funcionamento Pleno
19.106,5.3406,Funcionamento Pleno
18.7437,5.341760000000001,Funcionamento Pleno
18.4967,5.342499999999999,Funcionamento Pleno
18.33,5.343,Funcionamento Pleno
18.181,5.343500000000001,Funcionamento Pleno
18.054,5.34385,Funcionamento Pleno
17.9313,5.3442300000000005,Funcionamento Pleno
17.807,5.3446,Funcionamento Pleno
17.671,5.345,Funcionamento Pleno
17.540799999999997,5.34544,Funcionamento Pleno
17.4097,5.34584,Funcionamento Pleno
17.287,5.3462000000000005,Funcionamento Pleno
17.075,5.346849999999999,Funcionamento Pleno
16.8227,5.347670000000001,Funcionamento Pleno
32.977,5.2985,Funcionamento Pleno
27.247,5.3158,Funcionamento Pleno
28.081,5.3133,Funcionamento Pleno
28.029,5.3135,Funcionamento Pleno
27.944,5.3137,Funcionamento Pleno
27.789499999999997,5.31415,Funcionamento Pleno
27.587,5.3148,Funcionamento Pleno
27.3505,5.3155,Funcionamento Pleno
27.0363,5.3165,Funcionamento Pleno
26.6875,5.3175,Funcionamento Pleno
26.314600000000002,5.31862,Funcionamento Pleno
25.9233,5.31986,Funcionamento Pleno
25.383,5.3215,Funcionamento Pleno
24.2395,5.324949999999999,Funcionamento Pleno
23.181,5.3282,Funcionamento Pleno
21.753700000000002,5.33257,Funcionamento Pleno
19.8785,5.3383,Funcionamento Pleno
17.83,5.34457,Funcionamento Pleno
23.52,5.3272,Funcionamento Pleno
18.117,5.3437,Funcionamento Pleno
13.082,5.3592,Funcionamento Pleno
13.503,5.3579,Funcionamento Pleno
13.5263,5.3578,Funcionamento Pleno
13.4328,5.35807,Funcionamento Pleno
13.305,5.35845,Funcionamento Pleno
13.178,5.3589,Funcionamento Pleno
13.0421,5.35932,Funcionamento Pleno
12.917,5.3597,Funcionamento Pleno
12.8055,5.36,Funcionamento Pleno
12.708,5.36024,Funcionamento Pleno
12.6221,5.3605100000000006,Funcionamento Pleno
12.5488,5.36078,Funcionamento Pleno
12.4882,5.36103,Funcionamento Pleno
12.434,5.36118,Funcionamento Pleno
11.689499999999999,5.3635,Funcionamento Pleno
10.845,5.3661,Funcionamento Pleno
10.1577,5.36823,Funcionamento Pleno
#VALOR!,5.3731,Funcionamento Pleno
#VALOR!,5.3801000000000005,Funcionamento Pleno
#VALOR!,5.3863,Funcionamento Pleno
18.103,5.3437,Funcionamento Pleno
#VALOR!,5.3916,Funcionamento Pleno
#VALOR!,5.3959600000000005,Funcionamento Pleno
#VALOR!,5.39729,Funcionamento Pleno
#VALOR!,5.39818,Funcionamento Pleno
#VALOR!,5.3988,Funcionamento Pleno
#VALOR!,5.3949,Funcionamento Pleno
#VALOR!,5.3885,Funcionamento Pleno
#VALOR!,5.38288,Funcionamento Pleno
#VALOR!,5.37854,Funcionamento Pleno
#VALOR!,5.37586,Funcionamento Pleno
#VALOR!,5.374210000000001,Funcionamento Pleno
#VALOR!,5.372859999999999,Funcionamento Pleno
#VALOR!,5.3717,Funcionamento Pleno
#VALOR!,5.37056,Funcionamento Pleno
#VALOR!,5.3697,Funcionamento Pleno
#VALOR!,5.368930000000001,Funcionamento Pleno
10.165,5.3682,Funcionamento Pleno
10.357800000000001,5.36761,Funcionamento Pleno
10.5375,5.367039999999999,Funcionamento Pleno
10.7172,5.36648,Funcionamento Pleno
10.875,5.366,Funcionamento Pleno
10.9974,5.36562,Funcionamento Pleno
11.1199,5.36524,Funcionamento Pleno
11.2423,5.36486,Funcionamento Pleno
11.355,5.3645000000000005,Funcionamento Pleno
11.452,5.36423,Funcionamento Pleno
11.532,5.36398,Funcionamento Pleno
11.612,5.36374,Funcionamento Pleno
11.692,5.36348,Funcionamento Pleno
11.758700000000001,5.36326,Funcionamento Pleno
11.8171,5.36308,Funcionamento Pleno
11.8756,5.36289,Funcionamento Pleno
11.934,5.3627,Funcionamento Pleno
11.9816,5.36254,Funcionamento Pleno
12.0292,5.36238,Funcionamento Pleno
12.072700000000001,5.36227,Funcionamento Pleno
12.112,5.3622,Funcionamento Pleno
12.145,5.3621,Funcionamento Pleno
12.178,5.362,Funcionamento Pleno
12.211,5.3619,Funcionamento Pleno
12.244,5.36179,Funcionamento Pleno
12.2714,5.36169,Funcionamento Pleno
12.295300000000001,5.36163,Funcionamento Pleno
12.3191,5.361559999999999,Funcionamento Pleno
12.343,5.361459999999999,Funcionamento Pleno
12.3636,5.3613800000000005,Funcionamento Pleno
12.3821,5.361319999999999,Funcionamento Pleno
12.4006,5.36126,Funcionamento Pleno
12.416,5.3612,Funcionamento Pleno
12.4324,5.3612,Funcionamento Pleno
12.176,5.362,Funcionamento Pleno
11.891200000000001,5.36286,Funcionamento Pleno
11.62,5.3637,Funcionamento Pleno
11.323,5.3646,Funcionamento Pleno
11.088,5.3653,Funcionamento Pleno
10.9468,5.36573,Funcionamento Pleno
10.869,5.36594,Funcionamento Pleno
10.4405,5.36735,Funcionamento Pleno
